date,title,label,link
2023-04-04,What is Data Science,LECT,https://cogs9.s3.us-west-1.amazonaws.com/01_intro.pdf
2023-04-06,Ethics,LECT,https://cogs9.s3.us-west-1.amazonaws.com/02_ethics.pdf
2023-04-07,[Extra Credit] Pre-course survey due,EXTR,https://docs.google.com/forms/d/e/1FAIpQLScvM4DCdOTqSDdJ8UWc4WsbrYwff6D8bnPVfAz0LjoChxi8Ww/viewform?usp=sf_link
2023-04-11,Data Science Questions & Reading,LECT,https://cogs9.s3.us-west-1.amazonaws.com/03_data_science_questions.pdf
2023-04-13,Reproducibility & Bias,LECT,https://cogs9.s3.us-west-1.amazonaws.com/04_reproducibility.pdf
2023-04-18,Data,LECT,https://cogs9.s3.us-west-1.amazonaws.com/05_data.pdf
2023-04-20,Getting Data,LECT,https://cogs9.s3.us-west-1.amazonaws.com/06_getting_data.pdf
2023-04-21,Quiz 1 due,QUIZ,https://www.gradescope.com/courses/527643
2023-04-25,Data Wrangling,LECT,https://cogs9.s3.us-west-1.amazonaws.com/07_data_wrangling.pdf
2023-04-27,Programming for Data Science,LECT,https://cogs9.s3.us-west-1.amazonaws.com/08_programming.pdf
2023-04-28,Quiz 2 due,QUIZ,https://www.gradescope.com/courses/527643
2023-05-02,Data Vizualization,LECT,
2023-05-04,Exploratory Data Analysis,LECT,
2023-05-05,[Extra Credit] Mid-course survey due,EXTR,
2023-05-05,Quiz 3 due,QUIZ,https://www.gradescope.com/courses/527643
2023-05-05,Assignment 1 due,ASSG,https://www.gradescope.com/courses/527643
2023-05-09,Guest Lecture,GLCT,
2023-05-11,Communicating Data Science,LECT,
2023-05-12,Final Project Part 1 due,PROJ,https://www.gradescope.com/courses/527643
2023-05-12,[Extra Credit] Team evaluation due,EXTR,
2023-05-16,Inferential Analysis,LECT,
2023-05-18,Machine Learning I,LECT,
2023-05-19,Quiz 4 due,QUIZ,https://www.gradescope.com/courses/527643
2023-05-19,Assignment 2 due,ASSG,https://www.gradescope.com/courses/527643
2023-05-23,Machine Learning II,LECT,
2023-05-25,Guest Lecture: Sam Lau,GLCT,
2023-05-26,Assignment 3 due,ASSG,https://www.gradescope.com/courses/527643
2023-05-30,"Text, Longitudinal, and Geospatial Analysis",LECT,
2023-06-01,Giving a Data Science Talk,LECT,
2023-06-02,Quiz 5 due,QUIZ,https://www.gradescope.com/courses/527643
2023-06-06,Algorithms & Computability,LECT,
2023-06-08,Future of Data Sci & Jobs,LECT,
2023-06-09,Final Project Part 2 due,PROJ,https://www.gradescope.com/courses/527643
2023-06-10,[Extra Credit] CAPEs due,EXTR,https://cape.ucsd.edu/
2023-06-13,Take home exam due,EXAM,https://www.gradescope.com/courses/527643
2023-06-13,[Extra Credit] Post-course survey due,EXTR,